Degree;Occurrence
1;93
2;80
3;76
4;158
5;109
6;104
7;120
8;63
9;66
10;99
11;73
12;54
13;64
14;47
15;20
16;36
17;25
18;129
19;16
20;32
21;9
22;11
23;27
24;36
25;52
26;4
27;13
28;24
29;39
30;19
31;24
32;8
33;59
34;4
35;6
36;3
38;11
39;11
40;6
41;21
42;12
43;11
44;8
45;4
46;5
47;6
48;10
49;2
50;6
51;19
52;12
53;8
54;6
55;1
56;6
57;13
58;4
60;1
61;7
62;8
63;4
64;5
65;9
66;7
67;3
68;2
69;3
70;3
71;9
72;10
73;1
74;7
76;3
77;7
78;11
79;2
80;9
81;1
82;1
83;2
84;1
86;1
87;2
89;2
90;1
91;2
92;1
93;2
94;1
95;1
97;4
98;2
99;2
101;2
102;1
104;2
105;1
106;1
107;2
108;1
109;3
111;2
113;1
116;1
118;1
119;1
122;2
124;2
127;1
133;1
134;2
137;1
138;1
142;1
144;1
146;1
152;1
153;2
154;10
155;2
156;4
157;3
158;1
159;3
160;1
161;3
162;1
166;1
167;3
169;2
170;1
171;1
173;1
174;1
178;1
180;2
182;2
189;2
190;1
191;1
195;4
198;3
199;3
200;1
201;3
202;1
203;4
204;1
205;1
206;1
208;2
209;2
210;1
212;1
214;3
215;1
216;1
218;1
220;3
221;2
226;1
227;1
230;1
232;1
238;1
246;1
247;1
249;3
250;1
262;1
265;1
269;1
272;1
275;1
276;2
282;2
283;1
284;1
289;1
292;1
306;1
307;1
312;1
313;1
325;1
387;1
410;1
546;1
657;1
718;1
739;1
